"","Distribution","variable","value"
"1","t3","med",0.82
"2","t5","med",0.6475
"3","exp","med",0.665
"4","logis","med",0.555
"5","norm","med",0.485
"6","unif","med",0.3325
"7","laplace","med",0.7725
"8","t3","wmw",0.845
"9","t5","wmw",0.68
"10","exp","wmw",0.865
"11","logis","wmw",0.63
"12","norm","wmw",0.56
"13","unif","wmw",0.5975
"14","laplace","wmw",0.77
"15","t3","t",0.6775
"16","t5","t",0.6275
"17","exp","t",0.6475
"18","logis","t",0.605
"19","norm","t",0.5825
"20","unif","t",0.6425
"21","laplace","t",0.6625
