"","Distribution","variable","value"
"1","t3","Perm",0.04
"2","t5","Perm",0.04
"3","exp","Perm",0.05
"4","logis","Perm",0.02
"5","norm","Perm",0.03
"6","unif","Perm",0.08
"7","laplace","Perm",0.04
"8","t3","wmw",0.05
"9","t5","wmw",0.04
"10","exp","wmw",0.06
"11","logis","wmw",0.02
"12","norm","wmw",0.05
"13","unif","wmw",0.08
"14","laplace","wmw",0.03
"15","t3","t",0.04
"16","t5","t",0.05
"17","exp","t",0.06
"18","logis","t",0.02
"19","norm","t",0.04
"20","unif","t",0.08
"21","laplace","t",0.03
